Pharmacy Name,License Number,License Type,License Status,Expiration Date,City,State,County,Zip,LAT,LONG,isGovernment,isSatellite,Facility Type,Specialties,Conditions,Registered Outsourcer,Accreditations,URL
BCP VETERINARY PHARMACY,NSC 99229,Nonresident Sterile Compounding Pharmacy,CLEAR,2025-11-01,HOUSTON,TX,,77003,29.749778, -95.345885,False,False,Veterinary Only,,,,,
BEAR VALLEY COMMUNITY HOSPITAL,LSE 99258,Sterile Compounding Pharmacy (Government Owned),CLEAR,2025-10-01,BIG BEAR LAKE,CA,SAN BERNARDINO,92315,34.232796,-116.902863,True,False,Medical Facility,,,,,
BECKMAN RESEARCH INSTITUTE OF THE CITY OF HOPE,LSC 101030,Sterile Compounding Pharmacy,CLEAR,2025-02-01,DUARTE,CA,LOS ANGELES,91010,34.141586,-117.957627,False,False,Medical Facility,,,,,
BIOLOGIC INFUSION PHARMACY,LSC 99837,Sterile Compounding Pharmacy,CLEAR,2025-09-01,CYPRESS,CA,ORANGE,90630,33.818477,-118.038307,False,False,Infusion Center,,,,,
BIOMED CALIFORNIA INC,LSC 101664,Sterile Compounding Pharmacy,CLEAR,2025-02-01,INGLEWOOD,CA,LOS ANGELES,90301,33.956526,-118.358654,False,False,Infusion Center,,,,,
"BIOPLUS SPECIALTY INFUSION CA, LLC",LSC 101946,Sterile Compounding Pharmacy,CLEAR,2025-02-15,TORRANCE,CA,LOS ANGELES,90501,33.833744,-118.314022,False,False,Infusion Center,,,,,
BIOSCRIP INFUSION SERVICES,LSC 101438,Sterile Compounding Pharmacy,CLEAR,2025-08-01,IRVINE,CA,ORANGE,92618,33.666942,-117.732094,False,False,Infusion Center,,,,,
BOND PHARMACY INC DBA ADVANCED INFUSION SOLUTIONS,NSC 101610,Nonresident Sterile Compounding Pharmacy,CLEAR,2025-09-01,DALLAS,TX,,75287,32.999309, -96.841688,False,False,Infusion Center,,,,,
BOND PHARMACY INC DBA ADVANCED INFUSION SOLUTIONS,NSC 101237,Nonresident Sterile Compounding Pharmacy,CLEAR,2025-06-01,RIDGELAND,MS,,39157,32.425874, -90.169852,False,False,Infusion Center,,,,,
BOOTHWYN PHARMACY LLC,NSC 101082,Nonresident Sterile Compounding Pharmacy,CLEAR,2025-07-01,KENNETT SQUARE,PA,,19348,39.870280, -75.712913,False,False,Sterile Compounding Pharmacy,"Veterinary, Ophthalmology, Weight Loss, Hormone Replacement Therapy (HRT), Dermatology, Pediatrics, Pain Management, Gastroenterology, Podiatry","Infertility, Glaucoma, Dry Eye Syndrome, Acne, Psoriasis, Eczema",False,"PCAB, ACHC, LegitScript",https://boothwyn.com
BOWYER PHARMACY,LSE 101687,Sterile Compounding Pharmacy (Government Owned),CLEAR,2025-07-01,LOS ANGELES,CA,LOS ANGELES,90095,34.071200,-118.443523,True,False,Medical Facility,,,,,
BROOKS HEALTH CARE,LSC 100976,Sterile Compounding Pharmacy,CLEAR,2025-06-01,FRESNO,CA,FRESNO,93710,36.822349,-119.760243,False,False,Infusion Center,,,,,
CA PACIFIC MED CTR PHY - DAVIES CAMPUS,LSC 99947,Sterile Compounding Pharmacy,CLEAR,2025-08-01,SAN FRANCISCO,CA,SAN FRANCISCO,94117,37.769436,-122.447662,False,False,Medical Facility,,,,,
CALIFORNIA HOSPITAL MEDICAL CENTER,LSC 101293,Sterile Compounding Pharmacy,CLEAR,2025-02-01,LOS ANGELES,CA,LOS ANGELES,90015,34.039378,-118.266300,False,False,Medical Facility,,,,,
CALIFORNIA REHABILITATION INSTITUTE LLC 9TH FLOOR,LSC 100868,Sterile Compounding Pharmacy,CLEAR,2025-04-01,LOS ANGELES,CA,LOS ANGELES,90067,34.057597,-118.413998,False,False,Medical Facility,,,,,
CALIFORNIA SPECIALTY PHARMACY LLC,LSC 101868,Sterile Compounding Pharmacy,CLEAR,2025-08-01,WHITTIER,CA,LOS ANGELES,90601,34.007840,-118.030271,False,False,Infusion Center,,,,,
CARDINAL HEALTH,NSC 99823,Nonresident Sterile Compounding Pharmacy,CLEAR,2025-04-01,DENVER,CO,,80238,39.771649,-104.882471,False,False,Medical Facility,,,,,
CARDINAL HEALTH,NSC 101791,Nonresident Sterile Compounding Pharmacy,CLEAR,2025-09-01,E RUTHERFORD,NJ,,07073,40.817097, -74.085024,False,False,Medical Facility,,,,,
CARDINAL HEALTH 414 LLC,LSC 101183,Sterile Compounding Pharmacy,CLEAR,2026-01-01,SAN JOSE,CA,SANTA CLARA,95112,37.344482,-121.883535,False,False,Medical Facility,,,,,
"CARDINAL HEALTH 414, LLC",NSC 100709,Nonresident Sterile Compounding Pharmacy,CLEAR,2025-09-01,INDIANAPOLIS,IN,,46268,39.898613, -86.233341,False,False,Medical Facility,,,,,
"CARDINAL HEALTH 414,LLC",LSC 99076,Sterile Compounding Pharmacy,CLEAR,2025-07-01,PLACENTIA,CA,ORANGE,92870,33.881158,-117.854783,False,False,Medical Facility,,,,,
"CARDINAL HEALTH 414,LLC",LSC 99066,Sterile Compounding Pharmacy,CLEAR,2025-07-01,FRESNO,CA,FRESNO,93711,36.834289,-119.833350,False,False,Medical Facility,,,,,
"CARDINAL HEALTH 414,LLC",LSC 99062,Sterile Compounding Pharmacy,CLEAR,2025-07-01,RICHMOND,CA,CONTRA COSTA,94804,37.916555,-122.341233,False,False,Medical Facility,,,,,
"CARDINAL HEALTH 414,LLC",LSC 99061,Sterile Compounding Pharmacy,CLEAR,2025-10-01,REDDING,CA,SHASTA,96001,40.601778,-122.454973,False,False,Medical Facility,,,,,
"CARDINAL HEALTH 414,LLC",LSC 99065,Sterile Compounding Pharmacy,CLEAR,2025-08-01,TORRANCE,CA,LOS ANGELES,90504,33.867257,-118.330794,False,False,Medical Facility,,,,,
"CARDINAL HEALTH 414,LLC",LSC 99064,Sterile Compounding Pharmacy,CLEAR,2025-07-01,VAN NUYS,CA,LOS ANGELES,91406,34.195685,-118.490752,False,False,Medical Facility,,,,,
"CARDINAL HEALTH 414,LLC",LSC 99075,Sterile Compounding Pharmacy,CLEAR,2025-07-01,COLTON,CA,SAN BERNARDINO,92324,34.024520,-117.289255,False,False,Medical Facility,,,,,
"CARDINAL HEALTH_414,LLC",LSC 99110,Sterile Compounding Pharmacy,CLEAR,2025-07-01,SACRAMENTO,CA,SACRAMENTO,95815,38.605407,-121.447593,False,False,Medical Facility,,,,,
"CARDINAL HEALTH_414,LLC",LSC 99077,Sterile Compounding Pharmacy,CLEAR,2025-07-01,SAN DIEGO,CA,SAN DIEGO,92108,32.774046,-117.142454,False,False,Medical Facility,,,,,
"CAREMARK ILLINOIS SPECIALTY PHARMACY, LLC DBA CVS/SPECIALTY OR",NSC 101712,Nonresident Sterile Compounding Pharmacy,CLEAR,2025-02-01,MOUNT PROSPECT,IL,,60056,42.067166, -87.934719,False,False,Infusion Center,,,,,
CASA COLINA HOSPITAL PHARMACY,LSC 100495,Sterile Compounding Pharmacy,CLEAR,2025-04-01,POMONA,CA,LOS ANGELES,91767,34.083086,-117.737997,False,False,Medical Facility,,,,,
CD PHARMACY LLC DBA RED ROCK PHARMACY,NSC 101839,Nonresident Sterile Compounding Pharmacy,CLEAR,2025-03-01,ST. GEORGE,UT,,84790,37.044186,-113.577299,False,False,Sterile Compounding Pharmacy,"Hospice, Long Term Care, Weight Loss",,False,,https://www.redrockrx.com
CEDARS SINAI MARINA HOSPITAL,LSC 101480,Sterile Compounding Pharmacy,CLEAR,2025-05-01,MARINA DEL REY,CA,LOS ANGELES,90292,33.976582,-118.455222,False,False,Medical Facility,,,,,
CEDARS SINAI MEDICAL CENTER - CENTRAL PHARMACY MAIN SOUTH TOWER,LSC 101537,Sterile Compounding Pharmacy,CLEAR,2025-05-01,LOS ANGELES,CA,LOS ANGELES,90048,34.072924,-118.372710,False,False,Medical Facility,,,,,
CEDARS SINAI MEDICAL CENTER - MARK TAPER,LSC 101856,Sterile Compounding Pharmacy,CLEAR,2025-05-01,LOS ANGELES,CA,LOS ANGELES,90048,34.072924,-118.372710,False,False,Medical Facility,,,,,
CEDARS-SINAI MEDICAL CENTER -4TH FLOOR MAIN: 4407-4408,LSC 101074,Sterile Compounding Pharmacy,CLEAR,2025-05-01,LOS ANGELES,CA,LOS ANGELES,90048,34.072924,-118.372710,False,False,Medical Facility,,,,,
CEDARS-SINAI MEDICAL CENTER AHSP PLAZA LEVEL ROOM A2403,LSC 101077,Sterile Compounding Pharmacy,CLEAR,2025-05-01,LOS ANGELES,CA,LOS ANGELES,90048,34.072924,-118.372710,False,False,Medical Facility,,,,,
CEDARS-SINAI MEDICAL CENTER ASHP,LSC 101185,Sterile Compounding Pharmacy,CLEAR,2025-05-01,LOS ANGELES,CA,LOS ANGELES,90048,34.072924,-118.372710,False,False,Medical Facility,,,,,
CEDARS-SINAI MEDICAL CENTER PHARMACY #6,LSC 101070,Sterile Compounding Pharmacy,CLEAR,2025-05-01,LOS ANGELES,CA,LOS ANGELES,90048,34.072924,-118.372710,False,False,Medical Facility,,,,,
CEDARS-SINAI MEDICAL CENTER PHY #4,LSC 101557,Sterile Compounding Pharmacy,CLEAR,2025-06-01,LOS ANGELES,CA,LOS ANGELES,90048,34.072924,-118.372710,False,False,Medical Facility,,,,,
CEDARS-SINAI TOWER HEMATOLOGY ONCOLOGY PHARMACY,LSC 101079,Sterile Compounding Pharmacy,CLEAR,2025-05-01,BEVERLY HILLS,CA,LOS ANGELES,90211,34.064958,-118.382979,False,False,Medical Facility,,,,,
CEDARS-SINAI TOWER HEMATOLOGY ONCOLOGY PHARMACY,LSC 101790,Sterile Compounding Pharmacy,CLEAR,2025-11-01,BEVERLY HILLS,CA,LOS ANGELES,90211,34.064958,-118.382979,False,False,Medical Facility,,,,,
CENTINELA HOSPITAL MEDICAL CENTER,LSC 101204,Sterile Compounding Pharmacy,CLEAR,2025-04-01,INGLEWOOD,CA,LOS ANGELES,90301,33.956526,-118.358654,False,False,Medical Facility,,,,,
CENTRAL ADMIXTURE PHARMACY SERVICES INC,LSC 99040,Sterile Compounding Pharmacy,CLEAR,2025-09-01,FREMONT,CA,ALAMEDA,94538,37.501368,-121.956753,False,False,Sterile Compounding Pharmacy,"Total Parenteral Nutrition (TPN), Anesthesia",Cardioplegia,True,,https://www.capspharmacy.com/en.html
CENTRAL ADMIXTURE PHARMACY SERVICES INC,LSC 101206,Sterile Compounding Pharmacy,CLEAR,2025-10-01,SANTA FE SPRINGS,CA,LOS ANGELES,90670,33.933565,-118.062611,False,False,Sterile Compounding Pharmacy,"Total Parenteral Nutrition (TPN), Anesthesia",Cardioplegia,True,,https://www.capspharmacy.com/en.html
CENTRAL VALLEY SPECIALTY HOSPITAL - PHARMACY IV ROOM,LSC 100839,Sterile Compounding Pharmacy,CLEAR,2025-10-01,MODESTO,CA,STANISLAUS,95354,37.639029,-120.964772,False,False,Medical Facility,,,,,
CHA HOLLYWOOD PRESBYTERIAN MEDICAL CENTER INPATIENT PHARMACY IV R,LSC 100207,Sterile Compounding Pharmacy,CLEAR,2025-04-01,LOS ANGELES,CA,LOS ANGELES,90027,34.127194,-118.295647,False,False,Medical Facility,,,,,
CHAPMAN GLOBAL MEDICAL CENTER INC,LSC 101752,Sterile Compounding Pharmacy,CLEAR,2025-02-01,ORANGE,CA,ORANGE,92869,33.808450,-117.791737,False,False,Medical Facility,,,,,
CHEMIQUE PHARMACEUTICALS INC,LSC 99028,Sterile Compounding Pharmacy,CLEAR,2025-12-01,POMONA,CA,LOS ANGELES,91768,34.063516,-117.790379,False,False,Sterile Compounding Pharmacy,"IV Vitamin Therapy, Total Parenteral Nutrition (TPN), Weight Loss, Antibiotics, Hormone Replacement Therapy (HRT), Veterinary, Oncology, Pain Management","Anemia, Nausea, Diabetes, Hypertension",False,"American Association of Homeopathic Pharmacists, ACHC, ASC, APhA, ASHP, ASPEN, NHIA, PDA",https://chemiquepharm.com
CHEMIQUE PHARMACEUTICALS INC,LSC 99027,Sterile Compounding Pharmacy,CLEAR,2025-06-01,WHITTIER,CA,LOS ANGELES,90602,33.972782,-118.022066,False,False,Sterile Compounding Pharmacy,"IV Vitamin Therapy, Total Parenteral Nutrition (TPN), Weight Loss, Antibiotics, Hormone Replacement Therapy (HRT), Veterinary, Oncology, Pain Management","Anemia, Nausea, Diabetes, Hypertension",False,"American Association of Homeopathic Pharmacists, ACHC, ASC, APhA, ASHP, ASPEN, NHIA, PDA",https://chemiquepharm.com
CHILDREN'S HOSPITAL & HEALTH CENTER PHARMACY,LSC 100603,Sterile Compounding Pharmacy,CLEAR,2025-08-01,SAN DIEGO,CA,SAN DIEGO,92123,32.806794,-117.134930,False,False,Medical Facility,,,,,
CHILDREN'S HOSPITAL & HEALTH CENTER PHARMACY,LSC 100602,Sterile Compounding Pharmacy,CLEAR,2025-08-01,SAN DIEGO,CA,SAN DIEGO,92123,32.806794,-117.134930,False,False,Medical Facility,,,,,
CHILDREN'S HOSPITAL & RESEARCH CENTER AT OAKLAND,LSC 101682,Sterile Compounding Pharmacy,CLEAR,2025-06-01,OAKLAND,CA,ALAMEDA,94609,37.834403,-122.264368,False,False,Medical Facility,,,,,
CHILDREN'S HOSPITAL OF ORANGE COUNTY,LSC 101982,Sterile Compounding Pharmacy,CLEAR,2025-05-15,ORANGE,CA,ORANGE,92868,33.788145,-117.876550,False,False,Medical Facility,,,,,
CHILDREN'S HOSPITAL OF ORANGE COUNTY,LSC 101981,Sterile Compounding Pharmacy,CLEAR,2025-05-15,ORANGE,CA,ORANGE,92868,33.788145,-117.876550,False,False,Medical Facility,,,,,
CHILDREN'S HOSPITAL OF ORANGE COUNTY HOSPITAL PHARMACY 6TH FLOOR,LSC 101984,Sterile Compounding Pharmacy,CLEAR,2025-05-15,ORANGE,CA,ORANGE,92868,33.788145,-117.876550,False,False,Medical Facility,,,,,
CHILDREN'S HOSPITAL OF ORANGE COUNTY HOSPITAL PHARMACY INPATIENT,LSC 101983,Sterile Compounding Pharmacy,CLEAR,2025-05-15,ORANGE,CA,ORANGE,92868,33.788145,-117.876550,False,False,Medical Facility,,,,,
CHILDREN'S HOSPITAL OF ORANGE COUNTY HOSPITAL PHARMACY OR SATELLI,LSC 101980,Sterile Compounding Pharmacy,CLEAR,2025-05-15,ORANGE,CA,ORANGE,92868,33.788145,-117.876550,False,False,Medical Facility,,,,,
CHILDREN'S HOSPITAL PHARMACY - 4TH FLOOR 4A80,LSC 100335,Sterile Compounding Pharmacy,CLEAR,2025-05-01,LOS ANGELES,CA,LOS ANGELES,90027,34.127194,-118.295647,False,False,Medical Facility,,,,,
CHILDRENS HOSPITAL PHARMACY - 2ND FLOOR 2A80,LSC 100337,Sterile Compounding Pharmacy,CLEAR,2025-05-01,LOS ANGELES,CA,LOS ANGELES,90027,34.127194,-118.295647,False,False,Medical Facility,,,,,
CHILDRENS HOSPITAL PHARMACY - INPATIENT PHARMACY,LSC 100915,Sterile Compounding Pharmacy,CLEAR,2025-05-01,LOS ANGELES,CA,LOS ANGELES,90027,34.127194,-118.295647,False,False,Medical Facility,,,,,
CHILDRENS HOSPITAL PHARMACY - OR SATELITE RM 2074,LSC 100338,Sterile Compounding Pharmacy,CLEAR,2025-05-01,LOS ANGELES,CA,LOS ANGELES,90027,34.127194,-118.295647,False,False,Medical Facility,,,,,
CHILDRENS HOSPITAL PHARMACY - SATELITE EMERGENCY DEPT RM 0A66,LSC 100336,Sterile Compounding Pharmacy,CLEAR,2025-05-01,LOS ANGELES,CA,LOS ANGELES,90027,34.127194,-118.295647,False,False,Medical Facility,,,,,
CHILDRENS HOSPITAL PHARMACY - SATELITE PAGE INFUSION CENTER P2-10,LSC 100339,Sterile Compounding Pharmacy,CLEAR,2025-05-01,LOS ANGELES,CA,LOS ANGELES,90027,34.127194,-118.295647,False,False,Medical Facility,,,,,
CHILDRENS VILLAGE PHARMACY,LSC 101627,Sterile Compounding Pharmacy,CLEAR,2025-02-01,LONG BEACH,CA,LOS ANGELES,90806,33.805401,-118.187701,False,False,Medical Facility,,,,,
