Pharmacy Name,License Number,License Type,License Status,Expiration Date,City,State,County,Zip
ALERACARE PHARMACY CALIFORNIA,LSC 101805,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",VAN NUYS,California,LOS ANGELES,91406
ALHAMBRA HOSPITAL MEDICAL CENTER,LSC 99917,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",ALHAMBRA,California,LOS ANGELES,91801
ALHAMBRA HOSPITAL MEDICAL CENTER,LSC 101472,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",ALHAMBRA,California,LOS ANGELES,91801
ALLIANCERX WALGREENS PHARMACY #15443,NSC 100917,Nonresident Sterile Compounding Pharmacy,CLEAR,"April 1, 2025",FRISCO,Texas,OUT OF STATE,75033
ALLIANCERX WALGREENS PHARMACY #16287,NSC 101051,Nonresident Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",PITTSBURGH,Pennsylvania,OUT OF STATE,15275
ALTA BATES SUMMIT MED CTR HERRICK INFUSION PHARMACY,LSC 101302,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",BERKELEY,California,ALAMEDA,94704
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMPUS,LSC 101192,Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",BERKELEY,California,ALAMEDA,94705
ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT CAMPUS RM G744,LSC 101187,Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",OAKLAND,California,ALAMEDA,94609
AMBROSIA HEALTHCARE INC,LSC 99935,Sterile Compounding Pharmacy,CLEAR,"June 1, 2025",PALM DESERT,California,RIVERSIDE,92211
"AMERICAN OUTCOMES MANAGEMENT, LP DBA AOM INFUSION",NSC 101746,Nonresident Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",FORTH WORTH,Texas,OUT OF STATE,76109
AMERICAN RIVER INFUSION SERVICES,LSC 101698,Sterile Compounding Pharmacy,CLEAR,"September 1, 2025",SACRAMENTO,California,SACRAMENTO,95834
AMERIPHARMA,LSC 100895,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",ORANGE,California,ORANGE,92868
ANTELOPE VALLEY MEDICAL CENTER IV ROOM,LSE 101481,Sterile Compounding Pharmacy (Government Owned),CLEAR,"August 1, 2025",LANCASTER,California,LOS ANGELES,93534
APEX INFUSION PHARMACY,LSC 101934,Sterile Compounding Pharmacy,CLEAR,"June 1, 2025",SIGNAL HILL,California,LOS ANGELES,90755
ARROWHEAD REGIONAL MEDICAL CENTER PHARMACY,LSE 99997,Sterile Compounding Pharmacy (Government Owned),CLEAR,"October 1, 2025",COLTON,California,SAN BERNARDINO,92324
BAKERSFIELD MEMORIAL HOSPITAL,LSC 101845,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",BAKERSFIELD,California,KERN,93301
BAKERSFIELD MEMORIAL HOSPITAL PHARMACY,LSC 101683,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",BAKERSFIELD,California,KERN,93301
BAKERSFIELD REHABILITATION HOSPITAL,LSC 101703,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",BAKERSFIELD,California,KERN,93306
BANNER LASSEN MEDICAL CENTER 1ST FLOOR ROOM 523,LSC 100034,Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",SUSANVILLE,California,LASSEN,96130
BARLOW HOSPITAL PHARMACY,LSC 101656,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",LOS ANGELES,California,LOS ANGELES,90026
BARSTOW COMMUNITY HOSPITAL,LSC 101582,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",BARSTOW,California,SAN BERNARDINO,92311
BARTON MEMORIAL HOSPITAL PHARMACY,LSC 100403,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",SOUTH LAKE TAHOE,California,EL DORADO,96150
BASIC HOME INFUSION INC,NSC 101063,Nonresident Sterile Compounding Pharmacy,CLEAR,"April 1, 2024",WAYNE,New Jersey,OUT OF STATE,07470
BCP VETERINARY PHARMACY,NSC 99229,Nonresident Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",HOUSTON,Texas,OUT OF STATE,77003
BEAR VALLEY COMMUNITY HOSPITAL,LSE 99258,Sterile Compounding Pharmacy (Government Owned),CLEAR,"October 1, 2025",BIG BEAR LAKE,California,SAN BERNARDINO,92315
BECKMAN RESEARCH INSTITUTE OF THE CITY OF HOPE,LSC 101030,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",DUARTE,California,LOS ANGELES,91010
BIOLOGIC INFUSION PHARMACY,LSC 99837,Sterile Compounding Pharmacy,CLEAR,"September 1, 2025",CYPRESS,California,ORANGE,90630
BIOMED CALIFORNIA INC,LSC 101664,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",INGLEWOOD,California,LOS ANGELES,90301
"BIOPLUS SPECIALTY INFUSION CA, LLC",LSC 101946,Sterile Compounding Pharmacy,CLEAR,"February 15, 2025",TORRANCE,California,LOS ANGELES,90501
BIOSCRIP INFUSION SERVICES,LSC 101438,Sterile Compounding Pharmacy,CLEAR,"August 1, 2025",IRVINE,California,ORANGE,92618
BOND PHARMACY INC DBA ADVANCED INFUSION SOLUTIONS,NSC 101610,Nonresident Sterile Compounding Pharmacy,CLEAR,"September 1, 2025",DALLAS,Texas,OUT OF STATE,75287
BOND PHARMACY INC DBA ADVANCED INFUSION SOLUTIONS,NSC 101237,Nonresident Sterile Compounding Pharmacy,CLEAR,"June 1, 2025",RIDGELAND,Mississippi,OUT OF STATE,39157
BOOTHWYN PHARMACY LLC,NSC 101082,Nonresident Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",KENNETT SQUARE,Pennsylvania,OUT OF STATE,19348
BOWYER PHARMACY,LSE 101687,Sterile Compounding Pharmacy (Government Owned),CLEAR,"July 1, 2025",LOS ANGELES,California,LOS ANGELES,90095
BROOKS HEALTH CARE,LSC 100976,Sterile Compounding Pharmacy,CLEAR,"June 1, 2025",FRESNO,California,FRESNO,93710
CA PACIFIC MED CTR PHY - DAVIES CAMPUS,LSC 99947,Sterile Compounding Pharmacy,CLEAR,"August 1, 2025",SAN FRANCISCO,California,SAN FRANCISCO,94117
CALIFORNIA HOSPITAL MEDICAL CENTER,LSC 101293,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",LOS ANGELES,California,LOS ANGELES,90015
CALIFORNIA REHABILITATION INSTITUTE LLC 9TH FLOOR,LSC 100868,Sterile Compounding Pharmacy,CLEAR,"April 1, 2025",LOS ANGELES,California,LOS ANGELES,90067
CALIFORNIA SPECIALTY PHARMACY LLC,LSC 101868,Sterile Compounding Pharmacy,CLEAR,"August 1, 2025",WHITTIER,California,LOS ANGELES,90601
CARDINAL HEALTH,NSC 99823,Nonresident Sterile Compounding Pharmacy,CLEAR,"April 1, 2025",DENVER,Colorado,OUT OF STATE,80238
CARDINAL HEALTH,NSC 101791,Nonresident Sterile Compounding Pharmacy,CLEAR,"September 1, 2025",E RUTHERFORD,New Jersey,OUT OF STATE,07073
CARDINAL HEALTH 414 LLC,LSC 101183,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",SAN JOSE,California,SANTA CLARA,95112
"CARDINAL HEALTH 414, LLC",NSC 100709,Nonresident Sterile Compounding Pharmacy,CLEAR,"September 1, 2025",INDIANAPOLIS,Indiana,OUT OF STATE,46268
"CARDINAL HEALTH 414,LLC",LSC 99076,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",PLACENTIA,California,ORANGE,92870
"CARDINAL HEALTH 414,LLC",LSC 99066,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",FRESNO,California,FRESNO,93711
"CARDINAL HEALTH 414,LLC",LSC 99062,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",RICHMOND,California,CONTRA COSTA,94804
"CARDINAL HEALTH 414,LLC",LSC 99061,Sterile Compounding Pharmacy,CLEAR,"October 1, 2025",REDDING,California,SHASTA,96001
"CARDINAL HEALTH 414,LLC",LSC 99065,Sterile Compounding Pharmacy,CLEAR,"August 1, 2025",TORRANCE,California,LOS ANGELES,90504
"CARDINAL HEALTH 414,LLC",LSC 99064,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",VAN NUYS,California,LOS ANGELES,91406
"CARDINAL HEALTH 414,LLC",LSC 99075,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",COLTON,California,SAN BERNARDINO,92324
"CARDINAL HEALTH_414,LLC",LSC 99110,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",SACRAMENTO,California,SACRAMENTO,95815
"CARDINAL HEALTH_414,LLC",LSC 99077,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",SAN DIEGO,California,SAN DIEGO,92108
"CAREMARK ILLINOIS SPECIALTY PHARMACY, LLC DBA CVS/SPECIALTY OR",NSC 101712,Nonresident Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",MOUNT PROSPECT,Illinois,OUT OF STATE,60056
CASA COLINA HOSPITAL PHARMACY,LSC 100495,Sterile Compounding Pharmacy,CLEAR,"April 1, 2025",POMONA,California,LOS ANGELES,91767
CD PHARMACY LLC DBA RED ROCK PHARMACY,NSC 101839,Nonresident Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",ST. GEORGE,Utah,OUT OF STATE,84790
CEDARS SINAI MARINA HOSPITAL,LSC 101480,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",MARINA DEL REY,California,LOS ANGELES,90292
CEDARS SINAI MEDICAL CENTER - CENTRAL PHARMACY MAIN SOUTH TOWER,LSC 101537,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",LOS ANGELES,California,LOS ANGELES,90048
CEDARS SINAI MEDICAL CENTER - MARK TAPER,LSC 101856,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",LOS ANGELES,California,LOS ANGELES,90048
CEDARS-SINAI MEDICAL CENTER -4TH FLOOR MAIN: 4407-4408,LSC 101074,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",LOS ANGELES,California,LOS ANGELES,90048
CEDARS-SINAI MEDICAL CENTER AHSP PLAZA LEVEL ROOM A2403,LSC 101077,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",LOS ANGELES,California,LOS ANGELES,90048
CEDARS-SINAI MEDICAL CENTER ASHP,LSC 101185,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",LOS ANGELES,California,LOS ANGELES,90048
CEDARS-SINAI MEDICAL CENTER PHARMACY #6,LSC 101070,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",LOS ANGELES,California,LOS ANGELES,90048
CEDARS-SINAI MEDICAL CENTER PHY #4,LSC 101557,Sterile Compounding Pharmacy,CLEAR,"June 1, 2025",LOS ANGELES,California,LOS ANGELES,90048
CEDARS-SINAI TOWER HEMATOLOGY ONCOLOGY PHARMACY,LSC 101079,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",BEVERLY HILLS,California,LOS ANGELES,90211
CEDARS-SINAI TOWER HEMATOLOGY ONCOLOGY PHARMACY,LSC 101790,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",BEVERLY HILLS,California,LOS ANGELES,90211
CENTINELA HOSPITAL MEDICAL CENTER,LSC 101204,Sterile Compounding Pharmacy,CLEAR,"April 1, 2025",INGLEWOOD,California,LOS ANGELES,90301
CENTRAL ADMIXTURE PHARMACY SERVICES INC,LSC 99040,Sterile Compounding Pharmacy,CLEAR,"September 1, 2025",FREMONT,California,ALAMEDA,94538
CENTRAL ADMIXTURE PHARMACY SERVICES INC,LSC 101206,Sterile Compounding Pharmacy,CLEAR,"October 1, 2025",SANTA FE SPRINGS,California,LOS ANGELES,90670
CENTRAL VALLEY SPECIALTY HOSPITAL - PHARMACY IV ROOM,LSC 100839,Sterile Compounding Pharmacy,CLEAR,"October 1, 2025",MODESTO,California,STANISLAUS,95354
CHA HOLLYWOOD PRESBYTERIAN MEDICAL CENTER INPATIENT PHARMACY IV R,LSC 100207,Sterile Compounding Pharmacy,CLEAR,"April 1, 2025",LOS ANGELES,California,LOS ANGELES,90027
CHAPMAN GLOBAL MEDICAL CENTER INC,LSC 101752,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",ORANGE,California,ORANGE,92869
CHEMIQUE PHARMACEUTICALS INC,LSC 99028,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",POMONA,California,LOS ANGELES,91768
CHEMIQUE PHARMACEUTICALS INC,LSC 99027,Sterile Compounding Pharmacy,CLEAR,"June 1, 2025",WHITTIER,California,LOS ANGELES,90602
CHILDREN'S HOSPITAL & HEALTH CENTER PHARMACY,LSC 100603,Sterile Compounding Pharmacy,CLEAR,"August 1, 2025",SAN DIEGO,California,SAN DIEGO,92123
CHILDREN'S HOSPITAL & HEALTH CENTER PHARMACY,LSC 100602,Sterile Compounding Pharmacy,CLEAR,"August 1, 2025",SAN DIEGO,California,SAN DIEGO,92123
CHILDREN'S HOSPITAL & RESEARCH CENTER AT OAKLAND,LSC 101682,Sterile Compounding Pharmacy,CLEAR,"June 1, 2025",OAKLAND,California,ALAMEDA,94609
CHILDREN'S HOSPITAL OF ORANGE COUNTY,LSC 101982,Sterile Compounding Pharmacy,CLEAR,"May 15, 2025",ORANGE,California,ORANGE,92868
CHILDREN'S HOSPITAL OF ORANGE COUNTY,LSC 101981,Sterile Compounding Pharmacy,CLEAR,"May 15, 2025",ORANGE,California,ORANGE,92868
CHILDREN'S HOSPITAL OF ORANGE COUNTY HOSPITAL PHARMACY 6TH FLOOR,LSC 101984,Sterile Compounding Pharmacy,CLEAR,"May 15, 2025",ORANGE,California,ORANGE,92868
CHILDREN'S HOSPITAL OF ORANGE COUNTY HOSPITAL PHARMACY INPATIENT,LSC 101983,Sterile Compounding Pharmacy,CLEAR,"May 15, 2025",ORANGE,California,ORANGE,92868
CHILDREN'S HOSPITAL OF ORANGE COUNTY HOSPITAL PHARMACY OR SATELLI,LSC 101980,Sterile Compounding Pharmacy,CLEAR,"May 15, 2025",ORANGE,California,ORANGE,92868
CHILDREN'S HOSPITAL PHARMACY - 4TH FLOOR 4A80,LSC 100335,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",LOS ANGELES,California,LOS ANGELES,90027
CHILDRENS HOSPITAL PHARMACY - 2ND FLOOR 2A80,LSC 100337,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",LOS ANGELES,California,LOS ANGELES,90027
CHILDRENS HOSPITAL PHARMACY - INPATIENT PHARMACY,LSC 100915,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",LOS ANGELES,California,LOS ANGELES,90027
CHILDRENS HOSPITAL PHARMACY - OR SATELITE RM 2074,LSC 100338,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",LOS ANGELES,California,LOS ANGELES,90027
CHILDRENS HOSPITAL PHARMACY - SATELITE EMERGENCY DEPT RM 0A66,LSC 100336,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",LOS ANGELES,California,LOS ANGELES,90027
CHILDRENS HOSPITAL PHARMACY - SATELITE PAGE INFUSION CENTER P2-10,LSC 100339,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",LOS ANGELES,California,LOS ANGELES,90027
CHILDRENS VILLAGE PHARMACY,LSC 101627,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",LONG BEACH,California,LOS ANGELES,90806
CHINESE HOSPITAL PHARMACY,LSC 100964,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",SAN FRANCISCO,California,SAN FRANCISCO,94133
CHINO VALLEY MEDICAL CENTER,LSC 101386,Sterile Compounding Pharmacy,CLEAR,"June 1, 2025",CHINO,California,SAN BERNARDINO,91710
CITY OF HOPE BRISKIN CENTER FOR CLINICAL RESEARCH  (Previous Name),SCP 101269,Satellite Compounding Pharmacy,CLEAR,"September 1, 2025",DUARTE,California,LOS ANGELES,91010
CITRUS PHARMACY,LSC 99560,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",REDLANDS,California,SAN BERNARDINO,92373
CITY OF HOPE CORONA,LSC 101739,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",CORONA,California,RIVERSIDE,92882
CITY OF HOPE DUARTE BRISKIN,SCP 101269,Satellite Compounding Pharmacy,CLEAR,"September 1, 2025",DUARTE,California,LOS ANGELES,91010
CITY OF HOPE DUARTE HELFORD2,LSC 101533,Sterile Compounding Pharmacy,CLEAR,"September 1, 2025",DUARTE,California,LOS ANGELES,91010
CITY OF HOPE DUARTE HP8,LSC 101942,Sterile Compounding Pharmacy,CLEAR,"September 1, 2025",DUARTE,California,LOS ANGELES,91010
CITY OF HOPE DUARTE NW1202,LSC 100323,Sterile Compounding Pharmacy,CLEAR,"September 1, 2025",DUARTE,California,LOS ANGELES,91010
CITY OF HOPE DUARTE NW1252,LSC 101532,Sterile Compounding Pharmacy,CLEAR,"September 1, 2025",DUARTE,California,LOS ANGELES,91010
CITY OF HOPE ORANGE COUNTY,LSC 101761,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",IRVINE,California,ORANGE,92618
CITY OF HOPE SEACLIFF,LSC 101896,Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",HUNTINGTON BEACH,California,ORANGE,92648
CITY OF HOPE SOUTH BAY,LSC 101902,Sterile Compounding Pharmacy,CLEAR,"January 27, 2025",TORRANCE,California,LOS ANGELES,90503
CITY OF HOPE UPLAND,LSC 101619,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",UPLAND,California,SAN BERNARDINO,91786
CLINISHARE PHARMACY,LSC 99036,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",WEST HILLS,California,LOS ANGELES,91304
CLOVIS COMMUNITY HOSPITAL PHARMACY - ED SATELLITE,LSC 100300,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",CLOVIS,California,FRESNO,93611
CLOVIS COMMUNITY HOSPITAL PHARMACY - ICU SATELLITE,LSC 100299,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",CLOVIS,California,FRESNO,93611
CLOVIS COMMUNITY HOSPITAL PHARMACY - MAIN PHARMACY,LSC 100298,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",CLOVIS,California,FRESNO,93611
COALINGA REGIONAL MEDICAL CENTER,LSC 101743,Sterile Compounding Pharmacy,CLEAR,"September 1, 2025",COALINGA,California,FRESNO,93210
COAST PLAZA HOSPITAL,LSC 101968,Sterile Compounding Pharmacy,CLEAR,"May 15, 2025",NORWALK,California,LOS ANGELES,90650
COAST QUALITY PHARMACY LLC D/B/A ANAZAOHEALTH,NSC 100843,Nonresident Sterile Compounding Pharmacy,CLEAR,"August 1, 2025",TAMPA,Florida,OUT OF STATE,33634
COLLEGE HOSPITAL OF COSTA MESA IV HOOD (BARRIER ISOLATOR) LOCATED,LSC 100000,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",COSTA MESA,California,ORANGE,92627
COLLEGE MEDICAL CENTER,LSC 101699,Sterile Compounding Pharmacy,CLEAR,"October 1, 2025",LONG BEACH,California,LOS ANGELES,90806
COMMUNITY CANCER CENTER INFUSION PHARMACY,LSC 101158,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",CLOVIS,California,FRESNO,93611
COMMUNITY HOME INFUSION,LSC 100923,Sterile Compounding Pharmacy,CLEAR,"April 1, 2025",FRESNO,California,FRESNO,93710
COMMUNITY HOSPITAL OF HUNTINGTON PARK,LSC 101971,Sterile Compounding Pharmacy,CLEAR,"May 15, 2025",HUNTINGTON PARK,California,LOS ANGELES,90255
COMMUNITY HOSPITAL OF SAN BERNARDINO,LSC 101325,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",SAN BERNARDINO,California,SAN BERNARDINO,92411
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,LSC 101771,Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",MONTEREY,California,MONTEREY,93940
COMMUNITY MEMORIAL HOSPITAL OF SAN BUENA VENTURA MAIN PHARMACY,LSC 101448,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",VENTURA,California,VENTURA,93003
COMPLETE INFUSION CARE,LSC 100883,Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",LOS ANGELES,California,LOS ANGELES,90064
CONSONUS PHARMACY SERVICES CA NORTH LLC,LSC 99535,Sterile Compounding Pharmacy,CLEAR,"September 1, 2025",VACAVILLE,California,SOLANO,95688
CONTRA COSTA REG MED CTR OUTPATIENT PHY,LSE 100556,Sterile Compounding Pharmacy (Government Owned),CLEAR,"September 1, 2025",MARTINEZ,California,CONTRA COSTA,94553
CONTRA COSTA REG MEDICAL CTR HOSPITAL PHARMACY,LSE 100108,Sterile Compounding Pharmacy (Government Owned),CLEAR,"September 1, 2025",MARTINEZ,California,CONTRA COSTA,94553
CONVERSIO HEALTH,LSC 99934,Sterile Compounding Pharmacy,CLEAR,"September 1, 2025",SAN LUIS OBISPO,California,SAN LUIS OBISPO,93401
CORAM CVS/SPECIALTY INFUSION SERVICES,LSC 100385,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",ONTARIO,California,SAN BERNARDINO,91761
CORAM CVS/SPECIALTY INFUSION SERVICES,LSC 100594,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",SAN DIEGO,California,SAN DIEGO,92128
CORAM CVS/SPECIALTY INFUSION SERVICES,NSC 99991,Nonresident Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",MENDOTA HEIGHTS,Minnesota,OUT OF STATE,55120
CORAM HEALTHCARE CORPORATION OF NEVADA DBA CORAM CVS/SPECIALTY IN,NSC 100873,Nonresident Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",HENDERSON,Nevada,OUT OF STATE,89014
CORONA REGIONAL MEDICAL CENTER MAIN PHARMACY ON 1ST FLOOR,LSC 100205,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",CORONA,California,RIVERSIDE,92882
"COVETRUS NORTH AMERICA, LLC",NSC 101812,Nonresident Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",PHOENIX,Arizona,OUT OF STATE,85023
CPMC MISSION BERNAL CAMPUS PHARMACY,LSC 100494,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",SAN FRANCISCO,California,SAN FRANCISCO,94110
CPMC VAN NESS CAMPUS 5TH FLOOR SATELLITE PHARMACY,LSC 101286,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",SAN FRANCISCO,California,SAN FRANCISCO,94109
CPMC VAN NESS CAMPUS PHARMACY,LSC 101287,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",SAN FRANCISCO,California,SAN FRANCISCO,94109
CRESCENT HEALTHCARE INC DBA CRESCENT HEALTHCARE,LSC 101421,Sterile Compounding Pharmacy,CLEAR,"August 1, 2025",SANTA FE SPRINGS,California,LOS ANGELES,90670
